match_id,date,venue,city,country,competition,match_type,balls_per_over,team1,team2,toss_winner,toss_decision,winner,win_type,win_margin,player_of_match
20240619_DarenSammyNationalCricketStadiumGrosIsletStLucia_WestIndies_vs_England,2024-06-19,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,,T20,6,West Indies,England,England,field,England,wickets,8,PD Salt
20240624_DarenSammyNationalCricketStadiumGrosIsletStLucia_India_vs_Australia,2024-06-24,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies,,T20,6,India,Australia,Australia,field,India,runs,24,RG Sharma
20240610_NassauCountyInternationalCricketStadiumNewYork_SouthAfrica_vs_Bangladesh,2024-06-10,"Nassau County International Cricket Stadium, New York",New York,USA,,T20,6,South Africa,Bangladesh,South Africa,bat,South Africa,runs,4,H Klaasen
20240614_ArnosValeGroundKingstownStVincent_SouthAfrica_vs_Nepal,2024-06-14,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,West Indies,,T20,6,South Africa,Nepal,Nepal,field,South Africa,runs,1,T Shamsi
20240611_SirVivianRichardsStadiumNorthSoundAntigua_Namibia_vs_Australia,2024-06-11,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,,T20,6,Namibia,Australia,Australia,field,Australia,wickets,9,A Zampa
20240612_BrianLaraStadiumTaroubaTrinidad_WestIndies_vs_NewZealand,2024-06-12,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,,T20,6,West Indies,New Zealand,New Zealand,field,West Indies,runs,13,SE Rutherford
20240616_ArnosValeGroundKingstownStVincent_Bangladesh_vs_Nepal,2024-06-16,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,West Indies,,T20,6,Bangladesh,Nepal,Nepal,field,Bangladesh,runs,21,Tanzim Hasan Sakib
20240623_KensingtonOvalBridgetownBarbados_UnitedStatesofAmerica_vs_England,2024-06-23,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,,T20,6,United States of America,England,England,field,England,wickets,10,AU Rashid
20240614_BrianLaraStadiumTaroubaTrinidad_Uganda_vs_NewZealand,2024-06-14,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,,T20,6,Uganda,New Zealand,New Zealand,field,New Zealand,wickets,9,TG Southee
20240619_SirVivianRichardsStadiumNorthSoundAntigua_SouthAfrica_vs_UnitedStatesofAmerica,2024-06-19,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies,,T20,6,South Africa,United States of America,United States of America,field,South Africa,runs,18,Q de Kock
